[2024-06-22 12:12:26,748][utils.model][INFO] - LeNet model built
[2024-06-22 12:12:27,009][utils.model][INFO] - LeNet model built
[2024-06-22 12:12:27,163][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 12:12:27,178][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 12:12:27,179][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:12:27,180][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 12:12:27,186][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 12:12:27,443][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 12:12:27,465][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 12:12:27,469][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:12:27,471][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 12:12:27,475][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 12:12:32,902][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 12:12:32,904][utils.model][INFO] - ========================== Epoch Start ==========================
