[2024-06-16 17:45:18,625][root][INFO] - Initialized DataManager for experiment exp_17451816062024
[2024-06-16 17:45:19,064][root][INFO] - Initialized DataManager for experiment exp_17451916062024
[2024-06-16 17:45:19,952][utils.model][INFO] - LeNet model built
[2024-06-16 17:45:20,637][utils.model][INFO] - LeNet model built
[2024-06-16 17:45:20,842][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-16 17:45:20,850][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-16 17:45:20,854][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-16 17:45:20,869][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-16 17:45:20,877][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-16 17:45:20,987][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-16 17:45:20,995][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-16 17:45:20,999][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-16 17:45:21,003][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-16 17:45:31,738][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 17:45:31,743][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 17:45:31,999][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 2.3160 - Mean loss: 2.3160 - acc: 0.0938 - norm: 0.18 - 0.26s
[2024-06-16 17:45:32,000][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 2.2961 - Mean loss: 2.2961 - acc: 0.1875 - norm: 0.17 - 0.25s
[2024-06-16 17:45:32,507][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.9624 - Mean loss: 2.1609 - acc: 0.2301 - norm: 1.96 - 0.77s
[2024-06-16 17:45:32,507][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.9321 - Mean loss: 2.1036 - acc: 0.3011 - norm: 2.30 - 0.76s
[2024-06-16 17:45:33,018][utils.model][INFO] - (In epoch/Overall): (21/21)| inst_loss: 1.5195 - Mean loss: 1.9121 - acc: 0.3929 - norm: 4.54 - 1.28s
[2024-06-16 17:45:33,019][utils.model][INFO] - (In epoch/Overall): (21/21)| inst_loss: 0.9078 - Mean loss: 1.8153 - acc: 0.4241 - norm: 4.64 - 1.27s
[2024-06-16 17:45:33,083][utils.model][INFO] - Epoch Results:
[2024-06-16 17:45:33,085][utils.model][INFO] - Epoch Results:
[2024-06-16 17:45:33,087][utils.model][INFO] - (In epoch/Overall): (22/22)| inst_loss: 1.4136 - Mean loss: 1.8894 - acc: 0.4034 - norm: 4.80 - 1.35s
[2024-06-16 17:45:33,088][utils.model][INFO] - (In epoch/Overall): (22/22)| inst_loss: 1.3892 - Mean loss: 1.7959 - acc: 0.4290 - norm: 4.84 - 1.34s
[2024-06-16 17:45:34,505][utils.model][INFO] - Evaluation Results - Val Loss: 1.1424, Val Accuracy: 0.7045 in 32 steps
[2024-06-16 17:45:34,509][utils.model][INFO] - Evaluation Results - Val Loss: 1.1531, Val Accuracy: 0.7135 in 32 steps
[2024-06-16 17:45:34,511][root][INFO] - Added epoch data: {'round': 1, 'epoch_steps': 22, 'total_steps': 22, 'l2_norm': 4.8046746253967285, 'total_computation_time': 1.1487252712249756, 'total_rtc_check_time': 0.0624037030065665, 'total_duration': 1.347301959991455, 'val_loss': 1.1531288623809814, 'val_accuracy': 0.7135000228881836, 'experiment_id': 'exp_17451816062024'}
[2024-06-16 17:45:34,521][root][INFO] - Added step data List. New Data Added: 22
[2024-06-16 17:45:34,526][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_17451816062024/client/epoch.csv
[2024-06-16 17:45:34,527][root][INFO] - Step data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_17451816062024/client/step.csv
[2024-06-16 17:45:39,141][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 17:45:39,144][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 17:45:39,245][utils.model][INFO] - (In epoch/Overall): (1/23)| inst_loss: 1.1244 - Mean loss: 1.1244 - acc: 0.7500 - norm: 0.06 - 0.10s
[2024-06-16 17:45:39,246][utils.model][INFO] - (In epoch/Overall): (1/23)| inst_loss: 1.1453 - Mean loss: 1.1453 - acc: 0.7188 - norm: 0.08 - 0.10s
[2024-06-16 17:45:39,745][utils.model][INFO] - (In epoch/Overall): (11/33)| inst_loss: 0.7266 - Mean loss: 0.9549 - acc: 0.7102 - norm: 0.53 - 0.60s
[2024-06-16 17:45:39,745][utils.model][INFO] - (In epoch/Overall): (11/33)| inst_loss: 1.0741 - Mean loss: 0.9840 - acc: 0.7301 - norm: 0.69 - 0.60s
[2024-06-16 17:45:40,237][utils.model][INFO] - (In epoch/Overall): (21/43)| inst_loss: 0.7803 - Mean loss: 0.9005 - acc: 0.7113 - norm: 1.17 - 1.09s
[2024-06-16 17:45:40,237][utils.model][INFO] - (In epoch/Overall): (21/43)| inst_loss: 0.6538 - Mean loss: 0.8570 - acc: 0.7664 - norm: 1.34 - 1.09s
[2024-06-16 17:45:40,754][utils.model][INFO] - (In epoch/Overall): (31/53)| inst_loss: 0.6676 - Mean loss: 0.8055 - acc: 0.7490 - norm: 1.79 - 1.61s
[2024-06-16 17:45:40,756][utils.model][INFO] - (In epoch/Overall): (31/53)| inst_loss: 0.4690 - Mean loss: 0.8033 - acc: 0.7671 - norm: 1.97 - 1.61s
[2024-06-16 17:45:41,272][utils.model][INFO] - (In epoch/Overall): (41/63)| inst_loss: 0.4972 - Mean loss: 0.7377 - acc: 0.7812 - norm: 2.59 - 2.13s
[2024-06-16 17:45:41,274][utils.model][INFO] - (In epoch/Overall): (41/63)| inst_loss: 0.7171 - Mean loss: 0.7858 - acc: 0.7591 - norm: 2.47 - 2.13s
[2024-06-16 17:45:41,754][utils.model][INFO] - (In epoch/Overall): (51/73)| inst_loss: 0.4791 - Mean loss: 0.7146 - acc: 0.7868 - norm: 3.20 - 2.61s
[2024-06-16 17:45:41,754][utils.model][INFO] - (In epoch/Overall): (51/73)| inst_loss: 0.5552 - Mean loss: 0.7461 - acc: 0.7727 - norm: 3.17 - 2.61s
[2024-06-16 17:45:42,239][utils.model][INFO] - (In epoch/Overall): (61/83)| inst_loss: 0.3881 - Mean loss: 0.6927 - acc: 0.7889 - norm: 3.86 - 3.10s
