[2024-06-22 16:21:27,787][utils.model][INFO] - LeNet model built
[2024-06-22 16:21:28,105][utils.model][INFO] - LeNet model built
[2024-06-22 16:21:28,221][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 16:21:28,234][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 16:21:28,238][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 16:21:28,240][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 16:21:28,242][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 16:21:28,432][utils.model][INFO] - LeNet model built
[2024-06-22 16:21:28,473][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 16:21:28,484][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 16:21:28,487][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 16:21:28,491][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 16:21:28,762][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 16:21:28,784][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 16:21:28,791][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 16:21:28,793][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 16:21:28,797][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 16:21:35,864][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 16:21:35,867][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 16:21:35,867][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 16:21:36,315][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.4469 - Mean loss: 2.2668 - acc: 0.1562 - norm: 0.21 - 2.27s
[2024-06-22 16:21:36,315][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.4468 - Mean loss: 2.2551 - acc: 0.1875 - norm: 0.21 - 2.26s
[2024-06-22 16:21:36,317][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.4501 - Mean loss: 2.3127 - acc: 0.1250 - norm: 0.22 - 2.31s
