[2024-06-21 19:48:04,835][utils.model][INFO] - LeNet model built
[2024-06-21 19:48:05,132][utils.model][INFO] - LeNet model built
[2024-06-21 19:48:05,170][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-21 19:48:05,186][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-21 19:48:05,189][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-21 19:48:05,192][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-21 19:48:05,395][flwr][DEBUG] - gRPC channel closed
[2024-06-21 19:48:05,493][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-21 19:48:05,507][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-21 19:48:05,510][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-21 19:48:05,519][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-21 19:48:05,522][flwr][DEBUG] - gRPC channel closed
