[2024-06-16 16:55:00,261][utils.model][INFO] - (In epoch/Overall): (81/164)| inst_loss: 0.2187 - Mean loss: 0.3216 - acc: 0.9012 - norm: 2.49 - 4.19s
[2024-06-16 16:55:00,827][utils.model][INFO] - (In epoch/Overall): (91/174)| inst_loss: 0.1693 - Mean loss: 0.3128 - acc: 0.9014 - norm: 2.88 - 4.76s
[2024-06-16 16:55:01,401][utils.model][INFO] - (In epoch/Overall): (101/184)| inst_loss: 0.0904 - Mean loss: 0.3123 - acc: 0.9025 - norm: 3.34 - 5.33s
[2024-06-16 16:55:01,908][utils.model][INFO] - (In epoch/Overall): (111/194)| inst_loss: 0.0832 - Mean loss: 0.3051 - acc: 0.9048 - norm: 3.73 - 5.84s
[2024-06-16 16:55:02,438][utils.model][INFO] - (In epoch/Overall): (121/204)| inst_loss: 0.7052 - Mean loss: 0.2972 - acc: 0.9075 - norm: 4.24 - 6.37s
[2024-06-16 16:55:03,040][utils.model][INFO] - (In epoch/Overall): (131/214)| inst_loss: 0.3978 - Mean loss: 0.2911 - acc: 0.9094 - norm: 4.75 - 6.97s
[2024-06-16 16:55:03,548][utils.model][INFO] - Epoch Results:
[2024-06-16 16:55:03,552][utils.model][INFO] - (In epoch/Overall): (138/221)| inst_loss: 0.2440 - Mean loss: 0.2913 - acc: 0.9096 - norm: 5.08 - 7.48s
[2024-06-16 16:55:05,244][utils.model][INFO] - Evaluation Results - Val Loss: 0.1973, Val Accuracy: 0.9435 in 32 steps
[2024-06-16 16:55:05,248][root][INFO] - Added epoch data: {'round': 3, 'epoch_steps': 138, 'total_steps': 221, 'l2_norm': 5.0774827003479, 'total_computation_time': 6.569562911987305, 'total_rtc_check_time': 0.4772758019680623, 'total_duration': 7.482758045196533, 'val_loss': 0.19731445610523224, 'val_accuracy': 0.9434999823570251, 'experiment_id': 'experiment_20240616165429014189'}
[2024-06-16 16:55:05,337][root][INFO] - Added step data List. New Data Added: 138
[2024-06-16 16:55:05,338][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/epoch.csv
[2024-06-16 16:55:05,341][root][INFO] - Step data saved to /home/psklavos/fl/geom_aio/csv_logs/experiment_20240616165429014189/step.csv
[2024-06-16 16:55:10,811][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 16:55:10,964][utils.model][INFO] - (In epoch/Overall): (1/222)| inst_loss: 0.0816 - Mean loss: 0.0816 - acc: 0.9688 - norm: 0.02 - 0.15s
[2024-06-16 16:55:11,526][utils.model][INFO] - (In epoch/Overall): (11/232)| inst_loss: 0.0854 - Mean loss: 0.1614 - acc: 0.9460 - norm: 0.19 - 0.71s
[2024-06-16 16:55:12,172][utils.model][INFO] - (In epoch/Overall): (21/242)| inst_loss: 0.0536 - Mean loss: 0.1651 - acc: 0.9479 - norm: 0.38 - 1.36s
[2024-06-16 16:55:12,715][utils.model][INFO] - (In epoch/Overall): (31/252)| inst_loss: 0.0689 - Mean loss: 0.1855 - acc: 0.9425 - norm: 0.58 - 1.90s
[2024-06-16 16:55:13,327][utils.model][INFO] - (In epoch/Overall): (41/262)| inst_loss: 0.0564 - Mean loss: 0.1989 - acc: 0.9360 - norm: 0.78 - 2.51s
[2024-06-16 16:55:13,921][utils.model][INFO] - (In epoch/Overall): (51/272)| inst_loss: 0.1989 - Mean loss: 0.2034 - acc: 0.9326 - norm: 1.08 - 3.11s
[2024-06-16 16:55:14,548][utils.model][INFO] - (In epoch/Overall): (61/282)| inst_loss: 0.4674 - Mean loss: 0.2076 - acc: 0.9334 - norm: 1.30 - 3.74s
[2024-06-16 16:55:15,091][utils.model][INFO] - (In epoch/Overall): (71/292)| inst_loss: 0.0969 - Mean loss: 0.2068 - acc: 0.9322 - norm: 1.49 - 4.28s
