[2024-06-20 20:19:34,891][utils.model][INFO] - LeNet model built
[2024-06-20 20:19:35,393][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 20:19:35,409][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 20:19:35,418][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 20:19:35,420][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-20 20:19:35,423][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-20 20:19:35,697][utils.model][INFO] - LeNet model built
[2024-06-20 20:19:36,089][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 20:19:36,102][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 20:19:36,106][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 20:19:36,108][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-20 20:19:50,671][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 20:19:50,672][flwr][DEBUG] - ChannelConnectivity.IDLE
