[2024-06-20 20:36:17,854][utils.model][INFO] - LeNet model built
[2024-06-20 20:36:18,366][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 20:36:18,385][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 20:36:18,389][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 20:36:18,393][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-20 20:36:18,395][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-20 20:36:18,565][utils.model][INFO] - LeNet model built
[2024-06-20 20:36:18,967][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 20:36:18,991][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 20:36:18,995][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 20:36:19,000][flwr][DEBUG] - ChannelConnectivity.READY
