[2024-06-22 14:42:41,021][utils.model][INFO] - Step 1/40 - val_loss: 1.1769 - val_accuracy: 0.7070
[2024-06-22 14:42:41,040][utils.model][INFO] - Step 2/40 - val_loss: 1.2040 - val_accuracy: 0.6816
[2024-06-22 14:42:41,059][utils.model][INFO] - Step 3/40 - val_loss: 1.2136 - val_accuracy: 0.6797
[2024-06-22 14:42:41,078][utils.model][INFO] - Step 4/40 - val_loss: 1.2021 - val_accuracy: 0.6895
[2024-06-22 14:42:41,097][utils.model][INFO] - Step 5/40 - val_loss: 1.2269 - val_accuracy: 0.6750
[2024-06-22 14:42:41,117][utils.model][INFO] - Step 6/40 - val_loss: 1.2331 - val_accuracy: 0.6699
[2024-06-22 14:42:41,136][utils.model][INFO] - Step 7/40 - val_loss: 1.2321 - val_accuracy: 0.6752
[2024-06-22 14:42:41,155][utils.model][INFO] - Step 8/40 - val_loss: 1.2285 - val_accuracy: 0.6768
[2024-06-22 14:42:41,174][utils.model][INFO] - Step 9/40 - val_loss: 1.2368 - val_accuracy: 0.6758
[2024-06-22 14:42:41,192][utils.model][INFO] - Step 10/40 - val_loss: 1.2354 - val_accuracy: 0.6773
[2024-06-22 14:42:41,211][utils.model][INFO] - Step 11/40 - val_loss: 1.2354 - val_accuracy: 0.6776
[2024-06-22 14:42:41,231][utils.model][INFO] - Step 12/40 - val_loss: 1.2305 - val_accuracy: 0.6790
[2024-06-22 14:42:41,252][utils.model][INFO] - Step 13/40 - val_loss: 1.2286 - val_accuracy: 0.6791
[2024-06-22 14:42:41,271][utils.model][INFO] - Step 14/40 - val_loss: 1.2298 - val_accuracy: 0.6775
[2024-06-22 14:42:41,289][utils.model][INFO] - Step 15/40 - val_loss: 1.2307 - val_accuracy: 0.6776
[2024-06-22 14:42:41,308][utils.model][INFO] - Step 16/40 - val_loss: 1.2288 - val_accuracy: 0.6790
[2024-06-22 14:42:41,327][utils.model][INFO] - Step 17/40 - val_loss: 1.2307 - val_accuracy: 0.6781
[2024-06-22 14:42:41,345][utils.model][INFO] - Step 18/40 - val_loss: 1.2327 - val_accuracy: 0.6756
[2024-06-22 14:42:41,365][utils.model][INFO] - Step 19/40 - val_loss: 1.2283 - val_accuracy: 0.6760
[2024-06-22 14:42:41,385][utils.model][INFO] - Step 20/40 - val_loss: 1.2258 - val_accuracy: 0.6773
[2024-06-22 14:42:41,405][utils.model][INFO] - Step 21/40 - val_loss: 1.2184 - val_accuracy: 0.6784
[2024-06-22 14:42:41,423][utils.model][INFO] - Step 22/40 - val_loss: 1.2110 - val_accuracy: 0.6813
[2024-06-22 14:42:41,443][utils.model][INFO] - Step 23/40 - val_loss: 1.2046 - val_accuracy: 0.6843
[2024-06-22 14:42:41,462][utils.model][INFO] - Step 24/40 - val_loss: 1.2013 - val_accuracy: 0.6838
[2024-06-22 14:42:41,482][utils.model][INFO] - Step 25/40 - val_loss: 1.1930 - val_accuracy: 0.6872
[2024-06-22 14:42:41,500][utils.model][INFO] - Step 26/40 - val_loss: 1.1922 - val_accuracy: 0.6870
[2024-06-22 14:42:41,519][utils.model][INFO] - Step 27/40 - val_loss: 1.1916 - val_accuracy: 0.6871
[2024-06-22 14:42:41,537][utils.model][INFO] - Step 28/40 - val_loss: 1.1878 - val_accuracy: 0.6878
[2024-06-22 14:42:41,555][utils.model][INFO] - Step 29/40 - val_loss: 1.1864 - val_accuracy: 0.6884
[2024-06-22 14:42:41,573][utils.model][INFO] - Step 30/40 - val_loss: 1.1886 - val_accuracy: 0.6883
[2024-06-22 14:42:41,591][utils.model][INFO] - Step 31/40 - val_loss: 1.1849 - val_accuracy: 0.6895
[2024-06-22 14:42:41,610][utils.model][INFO] - Step 32/40 - val_loss: 1.1813 - val_accuracy: 0.6895
[2024-06-22 14:42:41,628][utils.model][INFO] - Step 33/40 - val_loss: 1.1778 - val_accuracy: 0.6909
[2024-06-22 14:42:41,646][utils.model][INFO] - Step 34/40 - val_loss: 1.1712 - val_accuracy: 0.6944
[2024-06-22 14:42:41,664][utils.model][INFO] - Step 35/40 - val_loss: 1.1639 - val_accuracy: 0.6983
[2024-06-22 14:42:41,683][utils.model][INFO] - Step 36/40 - val_loss: 1.1629 - val_accuracy: 0.6976
[2024-06-22 14:42:41,701][utils.model][INFO] - Step 37/40 - val_loss: 1.1588 - val_accuracy: 0.6987
[2024-06-22 14:42:41,720][utils.model][INFO] - Step 38/40 - val_loss: 1.1593 - val_accuracy: 0.6974
[2024-06-22 14:42:41,739][utils.model][INFO] - Step 39/40 - val_loss: 1.1655 - val_accuracy: 0.6941
[2024-06-22 14:42:41,749][utils.model][INFO] - Step 40/40 - val_loss: 1.1638 - val_accuracy: 0.6940
[2024-06-22 14:42:41,751][utils.model][INFO] - Evaluation Results - Val Loss: 1.1638, Val Accuracy: 0.6940 in 40 steps
[2024-06-22 14:42:41,753][flwr][INFO] - fit progress: (1, 1.1637914, {'accuracy': 0.694}, 8.100379312003497)
[2024-06-22 14:42:41,759][flwr][DEBUG] - evaluate_round 1: strategy sampled 6 clients (out of 6)
[2024-06-22 14:42:42,246][flwr][DEBUG] - evaluate_round 1 received 6 results and 0 failures
[2024-06-22 14:42:42,277][root][INFO] - Epoch data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/clients/client_0/epoch.csv
[2024-06-22 14:42:42,302][root][INFO] - Batch data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/clients/client_0/batch.csv
[2024-06-22 14:42:42,303][root][INFO] - Server data saved to /home/psklavos/fl/geom_aio/csv_logs/exp_20240622_144225/server/server.csv
[2024-06-22 14:42:47,403][flwr][DEBUG] - fit_round 2: strategy sampled 6 clients (out of 6)
[2024-06-22 14:42:53,847][flwr][DEBUG] - fit_round 2 received 6 results and 0 failures
[2024-06-22 14:42:53,915][utils.model][INFO] - LeNet model built
[2024-06-22 14:42:54,030][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 14:42:54,062][utils.model][INFO] - Step 1/40 - val_loss: 0.2656 - val_accuracy: 0.9336
[2024-06-22 14:42:54,081][utils.model][INFO] - Step 2/40 - val_loss: 0.3276 - val_accuracy: 0.9082
[2024-06-22 14:42:54,099][utils.model][INFO] - Step 3/40 - val_loss: 0.3458 - val_accuracy: 0.9010
[2024-06-22 14:42:54,118][utils.model][INFO] - Step 4/40 - val_loss: 0.3360 - val_accuracy: 0.9053
[2024-06-22 14:42:54,137][utils.model][INFO] - Step 5/40 - val_loss: 0.3652 - val_accuracy: 0.8945
[2024-06-22 14:42:54,156][utils.model][INFO] - Step 6/40 - val_loss: 0.3735 - val_accuracy: 0.8913
[2024-06-22 14:42:54,176][utils.model][INFO] - Step 7/40 - val_loss: 0.3774 - val_accuracy: 0.8940
[2024-06-22 14:42:54,194][utils.model][INFO] - Step 8/40 - val_loss: 0.3738 - val_accuracy: 0.8950
[2024-06-22 14:42:54,212][utils.model][INFO] - Step 9/40 - val_loss: 0.3843 - val_accuracy: 0.8963
[2024-06-22 14:42:54,231][utils.model][INFO] - Step 10/40 - val_loss: 0.3810 - val_accuracy: 0.8957
[2024-06-22 14:42:54,251][utils.model][INFO] - Step 11/40 - val_loss: 0.3797 - val_accuracy: 0.8952
[2024-06-22 14:42:54,270][utils.model][INFO] - Step 12/40 - val_loss: 0.3752 - val_accuracy: 0.8958
[2024-06-22 14:42:54,289][utils.model][INFO] - Step 13/40 - val_loss: 0.3746 - val_accuracy: 0.8960
[2024-06-22 14:42:54,307][utils.model][INFO] - Step 14/40 - val_loss: 0.3746 - val_accuracy: 0.8954
