[2024-06-22 11:44:48,966][utils.model][INFO] - LeNet model built
[2024-06-22 11:44:49,086][utils.model][INFO] - LeNet model built
[2024-06-22 11:44:49,251][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 11:44:49,263][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 11:44:49,266][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 11:44:49,268][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 11:44:49,422][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 11:44:49,432][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 11:44:49,435][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 11:44:49,438][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 11:44:54,701][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 11:44:54,706][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 11:44:55,163][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.4551 - Mean loss: 2.3034 - acc: 0.1250 - norm: 0.23 - 2.30s
[2024-06-22 11:44:55,163][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.4606 - Mean loss: 2.3157 - acc: 0.1250 - norm: 0.22 - 2.32s
[2024-06-22 11:44:55,613][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 0.9050 - Mean loss: 2.1710 - acc: 0.2642 - norm: 1.95 - 2.14s
[2024-06-22 11:44:55,613][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 0.9106 - Mean loss: 2.1255 - acc: 0.2812 - norm: 2.10 - 1.94s
[2024-06-22 11:44:56,082][utils.model][INFO] - (In epoch/Overall): (21/21)| inst_loss: 1.3741 - Mean loss: 1.9488 - acc: 0.3943 - norm: 4.68 - 1.55s
[2024-06-22 11:44:56,082][utils.model][INFO] - (In epoch/Overall): (21/21)| inst_loss: 1.3799 - Mean loss: 1.9423 - acc: 0.3661 - norm: 4.47 - 1.50s
[2024-06-22 11:44:56,550][utils.model][INFO] - (In epoch/Overall): (31/31)| inst_loss: 1.8482 - Mean loss: 1.6882 - acc: 0.4677 - norm: 6.73 - 1.05s
[2024-06-22 11:44:56,550][utils.model][INFO] - (In epoch/Overall): (31/31)| inst_loss: 1.8426 - Mean loss: 1.6997 - acc: 0.4808 - norm: 6.93 - 1.16s
[2024-06-22 11:44:57,020][utils.model][INFO] - (In epoch/Overall): (41/41)| inst_loss: 2.3175 - Mean loss: 1.5164 - acc: 0.5213 - norm: 8.67 - 0.70s
[2024-06-22 11:44:57,020][utils.model][INFO] - (In epoch/Overall): (41/41)| inst_loss: 2.3124 - Mean loss: 1.5153 - acc: 0.5373 - norm: 8.74 - 0.86s
[2024-06-22 11:44:57,517][utils.model][INFO] - (In epoch/Overall): (51/51)| inst_loss: 2.8155 - Mean loss: 1.3705 - acc: 0.5711 - norm: 10.00 - 0.83s
[2024-06-22 11:44:57,518][utils.model][INFO] - (In epoch/Overall): (51/51)| inst_loss: 2.8099 - Mean loss: 1.3793 - acc: 0.5790 - norm: 10.17 - 0.77s
[2024-06-22 11:44:57,522][utils.model][INFO] - Epoch Results:
[2024-06-22 11:44:57,522][utils.model][INFO] - Epoch Results:
[2024-06-22 11:44:57,526][utils.model][INFO] - (In epoch/Overall): (51/51)| inst_loss: 0.8309 - Mean loss: 1.3705 - acc: 0.5711 - norm: 10.00 - 2.82s
