[2024-06-20 20:50:03,794][utils.model][INFO] - LeNet model built
[2024-06-20 20:50:04,120][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 20:50:04,139][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 20:50:04,142][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 20:50:04,143][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-20 20:50:04,145][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-20 20:50:11,974][utils.model][INFO] - Evaluation Results - Val Loss: 1.2313, Val Accuracy: 0.7155 in 32 steps
[2024-06-20 20:50:16,850][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-20 20:50:17,198][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.3448 - Mean loss: 1.2199 - acc: 0.7812 - norm: 0.38 - 1.22s
[2024-06-20 20:50:17,834][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 0.9823 - Mean loss: 1.2591 - acc: 0.6278 - norm: 0.91 - 0.89s
[2024-06-20 20:50:18,410][utils.model][INFO] - (In epoch/Overall): (21/21)| inst_loss: 1.5585 - Mean loss: 1.0004 - acc: 0.7054 - norm: 1.73 - 0.53s
[2024-06-20 20:50:19,024][utils.model][INFO] - (In epoch/Overall): (31/31)| inst_loss: 2.1717 - Mean loss: 0.8982 - acc: 0.7349 - norm: 2.52 - 0.59s
[2024-06-20 20:50:19,563][utils.model][INFO] - (In epoch/Overall): (41/41)| inst_loss: 2.7104 - Mean loss: 0.8302 - acc: 0.7546 - norm: 3.16 - 0.45s
[2024-06-20 20:50:20,185][utils.model][INFO] - (In epoch/Overall): (51/51)| inst_loss: 3.3333 - Mean loss: 0.7548 - acc: 0.7770 - norm: 3.85 - 0.54s
[2024-06-20 20:50:20,727][utils.model][INFO] - (In epoch/Overall): (61/61)| inst_loss: 3.8753 - Mean loss: 0.7084 - acc: 0.7864 - norm: 4.52 - 0.36s
[2024-06-20 20:50:21,234][utils.model][INFO] - (In epoch/Overall): (71/71)| inst_loss: 4.3828 - Mean loss: 0.6743 - acc: 0.7953 - norm: 5.08 - 0.20s
[2024-06-20 20:50:21,488][utils.model][INFO] - Epoch Results:
[2024-06-20 20:50:21,492][utils.model][INFO] - (In epoch/Overall): (76/76)| inst_loss: 0.5992 - Mean loss: 0.6596 - acc: 0.7989 - norm: 5.40 - 4.64s
[2024-06-20 20:50:23,031][utils.model][INFO] - Evaluation Results - Val Loss: 0.3434, Val Accuracy: 0.9015 in 32 steps
[2024-06-20 20:50:27,607][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-20 20:50:27,757][utils.model][INFO] - (In epoch/Overall): (1/77)| inst_loss: 0.1478 - Mean loss: 0.1868 - acc: 0.9688 - norm: 0.02 - 0.19s
[2024-06-20 20:50:28,257][utils.model][INFO] - (In epoch/Overall): (11/87)| inst_loss: 0.6484 - Mean loss: 0.3699 - acc: 0.8750 - norm: 0.22 - 0.46s
[2024-06-20 20:50:28,734][utils.model][INFO] - (In epoch/Overall): (21/97)| inst_loss: 1.1257 - Mean loss: 0.3961 - acc: 0.8735 - norm: 0.44 - 0.56s
[2024-06-20 20:50:29,286][utils.model][INFO] - (In epoch/Overall): (31/107)| inst_loss: 1.6773 - Mean loss: 0.3576 - acc: 0.8851 - norm: 0.62 - 0.10s
