[2024-06-22 17:44:54,812][utils.model][INFO] - LeNet model built
[2024-06-22 17:44:55,117][utils.model][INFO] - LeNet model built
[2024-06-22 17:44:55,160][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 17:44:55,180][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 17:44:55,184][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 17:44:55,189][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 17:44:55,190][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 17:44:55,483][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 17:44:55,501][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 17:44:55,512][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 17:44:55,514][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 17:45:02,825][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:02,828][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:03,341][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.5149 - Mean loss: 2.2940 - acc: 0.1562 - norm: 0.14 - 2.29s
[2024-06-22 17:45:03,342][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.5123 - Mean loss: 2.3033 - acc: 0.1562 - norm: 0.15 - 2.30s
[2024-06-22 17:45:04,018][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.1886 - Mean loss: 2.1745 - acc: 0.2869 - norm: 2.20 - 1.97s
[2024-06-22 17:45:04,018][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.1918 - Mean loss: 2.1623 - acc: 0.2784 - norm: 2.41 - 1.95s
[2024-06-22 17:45:04,649][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:04,650][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:04,653][utils.model][INFO] - (In epoch/Overall): (20/20)| inst_loss: 1.2636 - Mean loss: 1.9344 - acc: 0.3984 - norm: 5.32 - 1.83s
[2024-06-22 17:45:04,653][utils.model][INFO] - (In epoch/Overall): (20/20)| inst_loss: 1.3651 - Mean loss: 1.9461 - acc: 0.3875 - norm: 5.15 - 1.82s
[2024-06-22 17:45:06,121][utils.model][INFO] - Evaluation Results - Val Loss: 1.4135, Val Accuracy: 0.6692 in 19 steps
[2024-06-22 17:45:06,135][utils.model][INFO] - Evaluation Results - Val Loss: 1.4383, Val Accuracy: 0.6625 in 19 steps
[2024-06-22 17:45:12,154][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:12,155][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:12,254][utils.model][INFO] - (In epoch/Overall): (1/21)| inst_loss: 0.0982 - Mean loss: 1.4076 - acc: 0.7188 - norm: 0.07 - 1.41s
[2024-06-22 17:45:12,255][utils.model][INFO] - (In epoch/Overall): (1/21)| inst_loss: 0.0980 - Mean loss: 1.4151 - acc: 0.6875 - norm: 0.09 - 1.42s
[2024-06-22 17:45:12,929][utils.model][INFO] - (In epoch/Overall): (11/31)| inst_loss: 0.7731 - Mean loss: 1.2512 - acc: 0.6761 - norm: 0.99 - 0.96s
[2024-06-22 17:45:12,929][utils.model][INFO] - (In epoch/Overall): (11/31)| inst_loss: 0.7732 - Mean loss: 1.2352 - acc: 0.6534 - norm: 0.89 - 1.18s
[2024-06-22 17:45:13,678][utils.model][INFO] - (In epoch/Overall): (21/41)| inst_loss: 1.5213 - Mean loss: 1.0671 - acc: 0.7009 - norm: 1.97 - 0.83s
[2024-06-22 17:45:13,679][utils.model][INFO] - (In epoch/Overall): (21/41)| inst_loss: 1.5212 - Mean loss: 1.0644 - acc: 0.6964 - norm: 1.90 - 0.89s
[2024-06-22 17:45:14,497][utils.model][INFO] - (In epoch/Overall): (31/51)| inst_loss: 2.3393 - Mean loss: 0.9676 - acc: 0.7258 - norm: 2.75 - 0.76s
[2024-06-22 17:45:14,498][utils.model][INFO] - (In epoch/Overall): (31/51)| inst_loss: 2.3396 - Mean loss: 0.9165 - acc: 0.7429 - norm: 3.00 - 0.45s
[2024-06-22 17:45:15,348][utils.model][INFO] - (In epoch/Overall): (41/61)| inst_loss: 3.1915 - Mean loss: 0.8436 - acc: 0.7569 - norm: 4.04 - 0.61s
[2024-06-22 17:45:15,349][utils.model][INFO] - (In epoch/Overall): (41/61)| inst_loss: 3.1917 - Mean loss: 0.8872 - acc: 0.7462 - norm: 3.60 - 0.74s
[2024-06-22 17:45:16,137][utils.model][INFO] - (In epoch/Overall): (51/71)| inst_loss: 3.9792 - Mean loss: 0.7800 - acc: 0.7696 - norm: 5.10 - 0.31s
[2024-06-22 17:45:16,138][utils.model][INFO] - (In epoch/Overall): (51/71)| inst_loss: 3.9799 - Mean loss: 0.8283 - acc: 0.7604 - norm: 4.50 - 0.43s
[2024-06-22 17:45:16,484][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:16,485][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:16,488][utils.model][INFO] - (In epoch/Overall): (55/75)| inst_loss: 0.6897 - Mean loss: 0.8100 - acc: 0.7665 - norm: 4.83 - 4.33s
[2024-06-22 17:45:16,490][utils.model][INFO] - (In epoch/Overall): (55/75)| inst_loss: 0.5094 - Mean loss: 0.7644 - acc: 0.7722 - norm: 5.37 - 4.33s
[2024-06-22 17:45:18,091][utils.model][INFO] - Evaluation Results - Val Loss: 0.4333, Val Accuracy: 0.8792 in 19 steps
[2024-06-22 17:45:18,104][utils.model][INFO] - Evaluation Results - Val Loss: 0.4057, Val Accuracy: 0.8917 in 19 steps
[2024-06-22 17:45:24,465][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:24,465][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 17:45:24,582][utils.model][INFO] - (In epoch/Overall): (1/76)| inst_loss: 0.1155 - Mean loss: 0.4291 - acc: 0.9062 - norm: 0.04 - 0.43s
[2024-06-22 17:45:24,582][utils.model][INFO] - (In epoch/Overall): (1/76)| inst_loss: 0.1156 - Mean loss: 0.6023 - acc: 0.8125 - norm: 0.05 - 0.60s
[2024-06-22 17:45:25,228][utils.model][INFO] - (In epoch/Overall): (11/86)| inst_loss: 0.7611 - Mean loss: 0.5057 - acc: 0.8210 - norm: 0.20 - 0.56s
[2024-06-22 17:45:25,229][utils.model][INFO] - (In epoch/Overall): (11/86)| inst_loss: 0.7619 - Mean loss: 0.4594 - acc: 0.8722 - norm: 0.23 - 0.68s
[2024-06-22 17:45:25,859][utils.model][INFO] - (In epoch/Overall): (21/96)| inst_loss: 1.3929 - Mean loss: 0.4628 - acc: 0.8601 - norm: 0.46 - 0.16s
[2024-06-22 17:45:25,860][utils.model][INFO] - (In epoch/Overall): (21/96)| inst_loss: 1.3925 - Mean loss: 0.4644 - acc: 0.8408 - norm: 0.43 - 0.27s
[2024-06-22 17:45:26,595][utils.model][INFO] - (In epoch/Overall): (31/106)| inst_loss: 2.1289 - Mean loss: 0.4242 - acc: 0.8548 - norm: 0.76 - 0.45s
[2024-06-22 17:45:26,596][utils.model][INFO] - (In epoch/Overall): (31/106)| inst_loss: 2.1293 - Mean loss: 0.4436 - acc: 0.8679 - norm: 0.78 - 0.36s
[2024-06-22 17:45:27,255][utils.model][INFO] - (In epoch/Overall): (41/116)| inst_loss: 2.7877 - Mean loss: 0.4066 - acc: 0.8659 - norm: 1.05 - 0.47s
[2024-06-22 17:45:27,255][utils.model][INFO] - (In epoch/Overall): (41/116)| inst_loss: 2.7877 - Mean loss: 0.4110 - acc: 0.8765 - norm: 1.14 - 0.27s
[2024-06-22 17:45:27,896][utils.model][INFO] - (In epoch/Overall): (51/126)| inst_loss: 3.4299 - Mean loss: 0.4131 - acc: 0.8603 - norm: 1.54 - 0.26s
[2024-06-22 17:45:27,896][utils.model][INFO] - (In epoch/Overall): (51/126)| inst_loss: 3.4302 - Mean loss: 0.4243 - acc: 0.8725 - norm: 1.58 - 0.94s
[2024-06-22 17:45:28,576][utils.model][INFO] - (In epoch/Overall): (61/136)| inst_loss: 4.1088 - Mean loss: 0.4115 - acc: 0.8750 - norm: 1.91 - 0.23s
[2024-06-22 17:45:28,576][utils.model][INFO] - (In epoch/Overall): (61/136)| inst_loss: 4.1088 - Mean loss: 0.3924 - acc: 0.8689 - norm: 1.85 - 0.62s
[2024-06-22 17:45:29,245][utils.model][INFO] - (In epoch/Overall): (71/146)| inst_loss: 4.7790 - Mean loss: 0.4021 - acc: 0.8776 - norm: 2.41 - 0.36s
[2024-06-22 17:45:29,247][utils.model][INFO] - (In epoch/Overall): (71/146)| inst_loss: 4.7799 - Mean loss: 0.3856 - acc: 0.8732 - norm: 2.28 - 0.13s
[2024-06-22 17:45:29,931][utils.model][INFO] - (In epoch/Overall): (81/156)| inst_loss: 5.4636 - Mean loss: 0.4000 - acc: 0.8792 - norm: 2.90 - 0.31s
[2024-06-22 17:45:29,931][utils.model][INFO] - (In epoch/Overall): (81/156)| inst_loss: 5.4635 - Mean loss: 0.3797 - acc: 0.8750 - norm: 2.84 - 0.37s
[2024-06-22 17:45:30,565][utils.model][INFO] - (In epoch/Overall): (91/166)| inst_loss: 6.0988 - Mean loss: 0.3882 - acc: 0.8819 - norm: 3.51 - 0.23s
[2024-06-22 17:45:30,566][utils.model][INFO] - (In epoch/Overall): (91/166)| inst_loss: 6.0985 - Mean loss: 0.3750 - acc: 0.8771 - norm: 3.43 - 0.48s
[2024-06-22 17:45:31,262][utils.model][INFO] - (In epoch/Overall): (101/176)| inst_loss: 6.7959 - Mean loss: 0.3756 - acc: 0.8846 - norm: 4.07 - 0.20s
[2024-06-22 17:45:31,263][utils.model][INFO] - (In epoch/Overall): (101/176)| inst_loss: 6.7964 - Mean loss: 0.3623 - acc: 0.8818 - norm: 3.74 - 0.22s
[2024-06-22 17:45:31,937][utils.model][INFO] - (In epoch/Overall): (111/186)| inst_loss: 7.4710 - Mean loss: 0.3519 - acc: 0.8863 - norm: 4.12 - 0.03s
[2024-06-22 17:45:31,937][utils.model][INFO] - (In epoch/Overall): (111/186)| inst_loss: 7.4711 - Mean loss: 0.3693 - acc: 0.8877 - norm: 4.55 - 0.12s
[2024-06-22 17:45:32,563][utils.model][INFO] - (In epoch/Overall): (121/196)| inst_loss: 8.0965 - Mean loss: 0.3594 - acc: 0.8913 - norm: 5.05 - 0.17s
[2024-06-22 17:45:32,563][utils.model][INFO] - (In epoch/Overall): (121/196)| inst_loss: 8.0966 - Mean loss: 0.3573 - acc: 0.8853 - norm: 4.70 - 0.73s
[2024-06-22 17:45:32,632][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:32,633][utils.model][INFO] - Epoch Results:
[2024-06-22 17:45:32,635][utils.model][INFO] - (In epoch/Overall): (122/197)| inst_loss: 0.3275 - Mean loss: 0.3591 - acc: 0.8911 - norm: 5.10 - 8.17s
[2024-06-22 17:45:32,637][utils.model][INFO] - (In epoch/Overall): (122/197)| inst_loss: 0.2043 - Mean loss: 0.3560 - acc: 0.8860 - norm: 4.74 - 8.17s
[2024-06-22 17:45:34,062][utils.model][INFO] - Evaluation Results - Val Loss: 0.2084, Val Accuracy: 0.9383 in 19 steps
[2024-06-22 17:45:34,063][utils.model][INFO] - Evaluation Results - Val Loss: 0.2082, Val Accuracy: 0.9317 in 19 steps
[2024-06-22 17:45:34,191][flwr][DEBUG] - gRPC channel closed
[2024-06-22 17:45:34,192][flwr][DEBUG] - gRPC channel closed
[2024-06-22 17:45:34,192][flwr][INFO] - Disconnect and shut down
[2024-06-22 17:45:34,192][flwr][INFO] - Disconnect and shut down
