[2024-06-20 16:44:39,898][utils.model][INFO] - LeNet model built
[2024-06-20 16:44:40,222][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 16:44:40,231][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 16:44:40,232][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 16:44:40,234][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-20 16:44:40,297][utils.model][INFO] - LeNet model built
[2024-06-20 16:44:40,591][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 16:44:40,602][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 16:44:40,606][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 16:44:40,609][flwr][DEBUG] - ChannelConnectivity.READY
