[2024-06-22 12:18:24,631][utils.model][INFO] - LeNet model built
[2024-06-22 12:18:25,040][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 12:18:25,052][utils.model][INFO] - LeNet model built
[2024-06-22 12:18:25,056][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 12:18:25,057][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:18:25,058][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 12:18:25,065][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 12:18:25,348][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 12:18:25,358][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 12:18:25,361][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:18:25,363][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-22 12:18:29,895][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 12:18:29,899][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-22 12:21:06,668][flwr][DEBUG] - gRPC channel closed
[2024-06-22 12:21:59,498][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:21:59,705][flwr][DEBUG] - gRPC channel closed
