[2024-06-20 23:19:39,726][utils.model][INFO] - LeNet model built
[2024-06-20 23:19:40,150][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-20 23:19:40,164][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-20 23:19:40,168][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-20 23:19:40,172][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-20 23:19:40,173][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-20 23:19:44,514][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-20 23:19:44,993][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 0.4774 - Mean loss: 2.2836 - acc: 0.0625 - norm: 0.20 - 2.28s
[2024-06-20 23:19:45,414][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 0.8992 - Mean loss: 2.1476 - acc: 0.2812 - norm: 2.10 - 1.98s
[2024-06-20 23:19:45,826][utils.model][INFO] - (In epoch/Overall): (21/21)| inst_loss: 1.3103 - Mean loss: 1.8466 - acc: 0.4122 - norm: 4.84 - 1.29s
[2024-06-20 23:19:45,892][utils.model][INFO] - Epoch Results:
[2024-06-20 23:19:45,896][utils.model][INFO] - (In epoch/Overall): (22/22)| inst_loss: 1.1449 - Mean loss: 1.8147 - acc: 0.4261 - norm: 5.08 - 1.38s
[2024-06-20 23:19:47,473][utils.model][INFO] - Evaluation Results - Val Loss: 1.2999, Val Accuracy: 0.6155 in 32 steps
[2024-06-20 23:19:51,398][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-20 23:19:51,774][utils.model][INFO] - (In epoch/Overall): (1/23)| inst_loss: 0.3727 - Mean loss: 1.5198 - acc: 0.5312 - norm: 0.09 - 1.52s
[2024-06-20 23:19:52,354][utils.model][INFO] - (In epoch/Overall): (11/33)| inst_loss: 0.9538 - Mean loss: 1.1379 - acc: 0.6790 - norm: 0.54 - 0.69s
[2024-06-20 23:19:53,002][utils.model][INFO] - (In epoch/Overall): (21/43)| inst_loss: 1.6012 - Mean loss: 0.9950 - acc: 0.6935 - norm: 1.17 - 0.83s
[2024-06-20 23:19:53,633][utils.model][INFO] - (In epoch/Overall): (31/53)| inst_loss: 2.2331 - Mean loss: 0.9249 - acc: 0.7157 - norm: 1.82 - 0.61s
[2024-06-20 23:19:54,116][utils.model][INFO] - (In epoch/Overall): (41/63)| inst_loss: 2.7151 - Mean loss: 0.8266 - acc: 0.7492 - norm: 2.52 - 0.29s
[2024-06-20 23:19:54,584][utils.model][INFO] - (In epoch/Overall): (51/73)| inst_loss: 3.1846 - Mean loss: 0.7700 - acc: 0.7672 - norm: 3.38 - 0.76s
[2024-06-20 23:19:55,087][utils.model][INFO] - (In epoch/Overall): (61/83)| inst_loss: 3.6872 - Mean loss: 0.7162 - acc: 0.7823 - norm: 4.04 - 0.19s
[2024-06-20 23:19:55,559][utils.model][INFO] - (In epoch/Overall): (71/93)| inst_loss: 4.1590 - Mean loss: 0.6802 - acc: 0.7927 - norm: 4.78 - 0.57s
[2024-06-20 23:19:55,615][utils.model][INFO] - Epoch Results:
[2024-06-20 23:19:55,619][utils.model][INFO] - (In epoch/Overall): (72/94)| inst_loss: 0.7104 - Mean loss: 0.6806 - acc: 0.7912 - norm: 4.86 - 4.22s
[2024-06-20 23:19:57,265][utils.model][INFO] - Evaluation Results - Val Loss: 0.4178, Val Accuracy: 0.8740 in 32 steps
[2024-06-20 23:20:01,278][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-20 23:20:01,450][utils.model][INFO] - (In epoch/Overall): (1/95)| inst_loss: 0.1688 - Mean loss: 0.4851 - acc: 0.8438 - norm: 0.05 - 0.49s
[2024-06-20 23:20:02,101][utils.model][INFO] - (In epoch/Overall): (11/105)| inst_loss: 0.8213 - Mean loss: 0.4118 - acc: 0.8864 - norm: 0.18 - 0.17s
[2024-06-20 23:20:02,682][utils.model][INFO] - (In epoch/Overall): (21/115)| inst_loss: 1.4015 - Mean loss: 0.3671 - acc: 0.8973 - norm: 0.40 - 0.40s
[2024-06-20 23:20:03,170][utils.model][INFO] - (In epoch/Overall): (31/125)| inst_loss: 1.8903 - Mean loss: 0.3576 - acc: 0.8972 - norm: 0.63 - 0.28s
[2024-06-20 23:20:03,650][utils.model][INFO] - (In epoch/Overall): (41/135)| inst_loss: 2.3704 - Mean loss: 0.3613 - acc: 0.8941 - norm: 0.92 - 0.29s
[2024-06-20 23:20:04,176][utils.model][INFO] - (In epoch/Overall): (51/145)| inst_loss: 2.8971 - Mean loss: 0.3371 - acc: 0.9007 - norm: 1.21 - 0.14s
[2024-06-20 23:20:04,653][utils.model][INFO] - (In epoch/Overall): (61/155)| inst_loss: 3.3735 - Mean loss: 0.3301 - acc: 0.9011 - norm: 1.57 - 0.43s
[2024-06-20 23:20:05,104][utils.model][INFO] - (In epoch/Overall): (71/165)| inst_loss: 3.8244 - Mean loss: 0.3338 - acc: 0.8996 - norm: 1.96 - 0.85s
[2024-06-20 23:20:05,581][utils.model][INFO] - (In epoch/Overall): (81/175)| inst_loss: 4.3020 - Mean loss: 0.3317 - acc: 0.8997 - norm: 2.32 - 0.14s
[2024-06-20 23:20:06,103][utils.model][INFO] - (In epoch/Overall): (91/185)| inst_loss: 4.8232 - Mean loss: 0.3292 - acc: 0.8994 - norm: 2.78 - 0.60s
[2024-06-20 23:20:06,615][utils.model][INFO] - (In epoch/Overall): (101/195)| inst_loss: 5.3356 - Mean loss: 0.3301 - acc: 0.8979 - norm: 3.25 - 0.24s
[2024-06-20 23:20:07,082][utils.model][INFO] - (In epoch/Overall): (111/205)| inst_loss: 5.8030 - Mean loss: 0.3227 - acc: 0.9003 - norm: 3.73 - 0.09s
[2024-06-20 23:20:07,562][utils.model][INFO] - (In epoch/Overall): (121/215)| inst_loss: 6.2824 - Mean loss: 0.3222 - acc: 0.9016 - norm: 4.28 - 0.45s
[2024-06-20 23:20:08,020][utils.model][INFO] - (In epoch/Overall): (131/225)| inst_loss: 6.7409 - Mean loss: 0.3177 - acc: 0.9022 - norm: 4.72 - 0.43s
[2024-06-20 23:20:08,272][utils.model][INFO] - Epoch Results:
[2024-06-20 23:20:08,276][utils.model][INFO] - (In epoch/Overall): (136/230)| inst_loss: 0.1247 - Mean loss: 0.3127 - acc: 0.9040 - norm: 4.91 - 7.00s
[2024-06-20 23:20:09,845][utils.model][INFO] - Evaluation Results - Val Loss: 0.2125, Val Accuracy: 0.9310 in 32 steps
[2024-06-20 23:20:13,779][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-20 23:20:13,927][utils.model][INFO] - (In epoch/Overall): (1/231)| inst_loss: 0.1458 - Mean loss: 0.2048 - acc: 0.9688 - norm: 0.02 - 0.20s
[2024-06-20 23:20:14,521][utils.model][INFO] - (In epoch/Overall): (11/241)| inst_loss: 0.7394 - Mean loss: 0.2068 - acc: 0.9347 - norm: 0.19 - 0.22s
[2024-06-20 23:20:15,132][utils.model][INFO] - (In epoch/Overall): (21/251)| inst_loss: 1.3509 - Mean loss: 0.2079 - acc: 0.9390 - norm: 0.37 - 0.09s
[2024-06-20 23:20:15,729][utils.model][INFO] - (In epoch/Overall): (31/261)| inst_loss: 1.9475 - Mean loss: 0.2206 - acc: 0.9304 - norm: 0.65 - 0.34s
[2024-06-20 23:20:16,263][utils.model][INFO] - (In epoch/Overall): (41/271)| inst_loss: 2.4825 - Mean loss: 0.2191 - acc: 0.9299 - norm: 0.81 - 0.03s
[2024-06-20 23:20:16,746][utils.model][INFO] - (In epoch/Overall): (51/281)| inst_loss: 2.9654 - Mean loss: 0.2279 - acc: 0.9252 - norm: 1.07 - 0.54s
[2024-06-20 23:20:17,285][utils.model][INFO] - (In epoch/Overall): (61/291)| inst_loss: 3.5045 - Mean loss: 0.2212 - acc: 0.9273 - norm: 1.26 - 0.08s
[2024-06-20 23:20:17,756][utils.model][INFO] - (In epoch/Overall): (71/301)| inst_loss: 3.9757 - Mean loss: 0.2150 - acc: 0.9291 - norm: 1.50 - 0.07s
[2024-06-20 23:20:18,216][utils.model][INFO] - (In epoch/Overall): (81/311)| inst_loss: 4.4356 - Mean loss: 0.2206 - acc: 0.9286 - norm: 1.79 - 0.31s
