[2024-06-16 17:45:19,514][root][INFO] - Initialized DataManager for experiment exp_17451916062024
[2024-06-16 17:45:20,813][utils.model][INFO] - LeNet model built
[2024-06-16 17:45:21,146][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-16 17:45:21,152][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-16 17:45:21,154][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-16 17:45:21,156][flwr][DEBUG] - ChannelConnectivity.READY
[2024-06-16 17:45:31,740][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 17:45:32,000][utils.model][INFO] - (In epoch/Overall): (1/1)| inst_loss: 2.3063 - Mean loss: 2.3063 - acc: 0.0625 - norm: 0.16 - 0.26s
[2024-06-16 17:45:32,507][utils.model][INFO] - (In epoch/Overall): (11/11)| inst_loss: 1.8537 - Mean loss: 2.1279 - acc: 0.2756 - norm: 2.36 - 0.77s
[2024-06-16 17:45:33,019][utils.model][INFO] - (In epoch/Overall): (21/21)| inst_loss: 1.4482 - Mean loss: 1.8402 - acc: 0.4167 - norm: 5.01 - 1.28s
[2024-06-16 17:45:33,085][utils.model][INFO] - Epoch Results:
[2024-06-16 17:45:33,088][utils.model][INFO] - (In epoch/Overall): (22/22)| inst_loss: 0.8907 - Mean loss: 1.7970 - acc: 0.4375 - norm: 5.37 - 1.35s
[2024-06-16 17:45:34,509][utils.model][INFO] - Evaluation Results - Val Loss: 1.1609, Val Accuracy: 0.7120 in 32 steps
[2024-06-16 17:45:39,142][utils.model][INFO] - ========================== Epoch Start ==========================
[2024-06-16 17:45:39,246][utils.model][INFO] - (In epoch/Overall): (1/23)| inst_loss: 1.0327 - Mean loss: 1.0327 - acc: 0.8125 - norm: 0.05 - 0.10s
[2024-06-16 17:45:39,745][utils.model][INFO] - (In epoch/Overall): (11/33)| inst_loss: 0.8926 - Mean loss: 1.0962 - acc: 0.6790 - norm: 0.52 - 0.60s
[2024-06-16 17:45:40,237][utils.model][INFO] - (In epoch/Overall): (21/43)| inst_loss: 0.6606 - Mean loss: 0.9605 - acc: 0.7068 - norm: 1.15 - 1.09s
[2024-06-16 17:45:40,754][utils.model][INFO] - (In epoch/Overall): (31/53)| inst_loss: 0.7252 - Mean loss: 0.8970 - acc: 0.7319 - norm: 1.80 - 1.61s
[2024-06-16 17:45:41,272][utils.model][INFO] - (In epoch/Overall): (41/63)| inst_loss: 0.4400 - Mean loss: 0.8260 - acc: 0.7515 - norm: 2.49 - 2.13s
