[2024-06-22 17:44:24,964][utils.model][INFO] - LeNet model built
[2024-06-22 17:44:25,366][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 17:44:25,374][utils.model][INFO] - LeNet model built
[2024-06-22 17:44:25,386][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 17:44:25,389][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 17:44:25,391][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 17:44:25,595][flwr][DEBUG] - gRPC channel closed
[2024-06-22 17:44:25,708][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 17:44:25,730][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 17:44:25,734][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 17:44:25,737][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 17:44:25,739][flwr][DEBUG] - gRPC channel closed
