[2024-06-22 12:24:53,887][utils.model][INFO] - LeNet model built
[2024-06-22 12:24:54,546][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 12:24:54,558][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 12:24:54,562][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:24:54,641][utils.model][INFO] - LeNet model built
[2024-06-22 12:24:54,657][utils.model][INFO] - LeNet model built
[2024-06-22 12:24:54,765][flwr][DEBUG] - gRPC channel closed
[2024-06-22 12:24:54,884][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 12:24:54,897][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 12:24:54,900][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:24:54,902][utils.model][INFO] - Size of serialized model: 279.0341796875 kbytes
[2024-06-22 12:24:54,903][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 12:24:54,906][flwr][DEBUG] - ChannelConnectivity.TRANSIENT_FAILURE
[2024-06-22 12:24:54,920][flwr][INFO] - Opened insecure gRPC connection (no certificates were passed)
[2024-06-22 12:24:54,922][flwr][DEBUG] - ChannelConnectivity.IDLE
[2024-06-22 12:24:54,924][flwr][DEBUG] - ChannelConnectivity.CONNECTING
[2024-06-22 12:24:54,927][flwr][DEBUG] - gRPC channel closed
[2024-06-22 12:24:55,105][flwr][DEBUG] - gRPC channel closed
